2024-11-06 12:41:45.833 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23494-sperma-taiemnycia-zhyttia.html
2024-11-06 12:41:45.946 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: The Pirate Bay: за межами клавіатури / Піратська бухта
2024-11-06 12:41:48.485 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23493-stiv-dzhobs-khipi-na-miliard-dolariv.html
2024-11-06 12:41:48.598 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Сперма - таємниця життя
2024-11-06 12:41:51.264 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23492-klasychni-albomy-blek-sebet-paranoid.html
2024-11-06 12:41:51.376 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Стів Джобс: Хіпі на мільярд доларів
2024-11-06 12:41:54.189 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23468-bilshyi-za-tyranozavra.html
2024-11-06 12:41:54.301 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Класичні Альбоми: Блек Себет - Параноід
2024-11-06 12:41:55.702 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23423-nacystskyi-khram-doli.html
2024-11-06 12:41:55.811 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Більший за тиранозавра
2024-11-06 12:41:58.591 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23421-mandrivka-u-sebe.html
2024-11-06 12:41:58.704 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Нацистський Храм Долі
2024-11-06 12:42:01.418 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23418-tytanik-100-rokiv-u-3d.html
2024-11-06 12:42:01.528 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Мандрівка у себе
2024-11-06 12:42:03.765 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23417-tytanik-zagadka-rozgadana.html
2024-11-06 12:42:03.878 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Титанік 100 років у 3D
2024-11-06 12:42:06.073 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23416-tytanik-narodzhennia-legendy.html
2024-11-06 12:42:06.185 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Титанік: загадка розгадана
2024-11-06 12:42:08.553 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23415-kadry-z-misiacia.html
2024-11-06 12:42:08.672 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Титанік - народження легенди
2024-11-06 12:42:11.340 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23414-mystectvo-polotu.html
2024-11-06 12:42:11.453 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Кадри з Місяця
2024-11-06 12:42:12.711 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23413-maidan.html
2024-11-06 12:42:12.822 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Мистецтво польоту
2024-11-06 12:42:15.230 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23412-iosemiti.html
2024-11-06 12:42:15.342 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Майдан
2024-11-06 12:42:17.237 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23411-isus-taiemnyche-zhyttia.html
2024-11-06 12:42:17.350 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Йосеміті
2024-11-06 12:42:20.220 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23410-taiemni-pravyla-suchasnogo-zhyttia-algorytmy.html
2024-11-06 12:42:20.334 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Ісус: таємниче життя
